Borough,Point Order,Sub Polygon Id,Ward,Ward GSS (Ward ID),Latitude,Longitude
City of London,1,1,City of London,E09000001,51.5094,-0.1076
City of London,2,1,City of London,E09000001,51.5093,-0.1099
City of London,3,1,City of London,E09000001,51.5148,-0.11
City of London,4,1,City of London,E09000001,51.5177,-0.1122
City of London,5,1,City of London,E09000001,51.518,-0.1037
City of London,6,1,City of London,E09000001,51.5192,-0.1002
City of London,7,1,City of London,E09000001,51.521,-0.0927
City of London,8,1,City of London,E09000001,51.5198,-0.0836
City of London,9,1,City of London,E09000001,51.521,-0.0769
City of London,10,1,City of London,E09000001,51.5162,-0.0753
City of London,11,1,City of London,E09000001,51.5139,-0.0724
City of London,12,1,City of London,E09000001,51.5103,-0.0712
City of London,13,1,City of London,E09000001,51.5089,-0.0773
City of London,14,1,City of London,E09000001,51.5064,-0.0786
City of London,15,1,City of London,E09000001,51.5074,-0.0861
City of London,16,1,City of London,E09000001,51.5092,-0.0977
City of London,17,1,City of London,E09000001,51.5094,-0.1076
Westminster,1,1,West End,E05000649,51.5129,-0.1274
Westminster,2,1,West End,E05000649,51.5092,-0.1332
Westminster,3,1,West End,E05000649,51.5076,-0.1383
Westminster,4,1,West End,E05000649,51.5014,-0.1501
Westminster,5,1,West End,E05000649,51.5053,-0.1497
Westminster,6,1,West End,E05000649,51.5096,-0.1549
Westminster,7,1,West End,E05000649,51.5129,-0.1568
Westminster,8,1,West End,E05000649,51.5132,-0.1544
Westminster,9,1,West End,E05000649,51.5141,-0.1453
Westminster,10,1,West End,E05000649,51.5154,-0.1437
Westminster,11,1,West End,E05000649,51.5189,-0.1456
Westminster,12,1,West End,E05000649,51.5203,-0.1376
Westminster,13,1,West End,E05000649,51.5162,-0.1309
Westminster,14,1,West End,E05000649,51.5159,-0.1288
Westminster,15,1,West End,E05000649,51.5129,-0.1274
Westminster,1,1,Westbourne,E05000648,51.519,-0.1833
Westminster,2,1,Westbourne,E05000648,51.519,-0.1933
Westminster,3,1,Westbourne,E05000648,51.5163,-0.1983
Westminster,4,1,Westbourne,E05000648,51.5201,-0.2022
Westminster,5,1,Westbourne,E05000648,51.5222,-0.2
Westminster,6,1,Westbourne,E05000648,51.5234,-0.199
Westminster,7,1,Westbourne,E05000648,51.5226,-0.1937
Westminster,8,1,Westbourne,E05000648,51.525,-0.1898
Westminster,9,1,Westbourne,E05000648,51.5244,-0.1887
Westminster,10,1,Westbourne,E05000648,51.522,-0.1862
Westminster,11,1,Westbourne,E05000648,51.5196,-0.1784
Westminster,12,1,Westbourne,E05000648,51.519,-0.1833
Westminster,1,1,Warwick,E05000647,51.4961,-0.141
Westminster,2,1,Warwick,E05000647,51.4923,-0.1366
Westminster,3,1,Warwick,E05000647,51.4876,-0.1369
Westminster,4,1,Warwick,E05000647,51.487,-0.1418
Westminster,5,1,Warwick,E05000647,51.4903,-0.1482
Westminster,6,1,Warwick,E05000647,51.4928,-0.1487
Westminster,7,1,Warwick,E05000647,51.4967,-0.1447
Westminster,8,1,Warwick,E05000647,51.4961,-0.141
Westminster,1,1,Vincent Square,E05000646,51.4923,-0.1366
Westminster,2,1,Vincent Square,E05000646,51.4961,-0.141
Westminster,3,1,Vincent Square,E05000646,51.497,-0.134
Westminster,4,1,Vincent Square,E05000646,51.4944,-0.1308
Westminster,5,1,Vincent Square,E05000646,51.494,-0.1212
Westminster,6,1,Vincent Square,E05000646,51.4871,-0.1256
Westminster,7,1,Vincent Square,E05000646,51.4923,-0.1366
Westminster,1,1,Tachbrook,E05000645,51.4833,-0.1365
Westminster,2,1,Tachbrook,E05000645,51.4876,-0.1369
Westminster,3,1,Tachbrook,E05000645,51.4923,-0.1366
Westminster,4,1,Tachbrook,E05000645,51.4871,-0.1256
Westminster,5,1,Tachbrook,E05000645,51.4854,-0.1279
Westminster,6,1,Tachbrook,E05000645,51.4833,-0.1365
Westminster,1,1,St. James's,E05000644,51.494,-0.1212
Westminster,2,1,St. James's,E05000644,51.4944,-0.1308
Westminster,3,1,St. James's,E05000644,51.497,-0.134
Westminster,4,1,St. James's,E05000644,51.4961,-0.141
Westminster,5,1,St. James's,E05000644,51.4967,-0.1447
Westminster,6,1,St. James's,E05000644,51.5014,-0.1501
Westminster,7,1,St. James's,E05000644,51.5076,-0.1383
Westminster,8,1,St. James's,E05000644,51.5092,-0.1332
Westminster,9,1,St. James's,E05000644,51.5129,-0.1274
Westminster,10,1,St. James's,E05000644,51.5121,-0.126
Westminster,11,1,St. James's,E05000644,51.5146,-0.1213
Westminster,12,1,St. James's,E05000644,51.514,-0.1179
Westminster,13,1,St. James's,E05000644,51.5155,-0.1131
Westminster,14,1,St. James's,E05000644,51.5148,-0.11
Westminster,15,1,St. James's,E05000644,51.5093,-0.1099
Westminster,16,1,St. James's,E05000644,51.5076,-0.1167
Westminster,17,1,St. James's,E05000644,51.5054,-0.1191
Westminster,18,1,St. James's,E05000644,51.494,-0.1212
Westminster,1,1,Regent's Park,E05000643,51.5216,-0.156
Westminster,2,1,Regent's Park,E05000643,51.5252,-0.1597
Westminster,3,1,Regent's Park,E05000643,51.5247,-0.1624
Westminster,4,1,Regent's Park,E05000643,51.5278,-0.1657
Westminster,5,1,Regent's Park,E05000643,51.5264,-0.1676
Westminster,6,1,Regent's Park,E05000643,51.5241,-0.1752
Westminster,7,1,Regent's Park,E05000643,51.5279,-0.1799
Westminster,8,1,Regent's Park,E05000643,51.5346,-0.1675
Westminster,9,1,Regent's Park,E05000643,51.5353,-0.1634
Westminster,10,1,Regent's Park,E05000643,51.5368,-0.1589
Westminster,11,1,Regent's Park,E05000643,51.5359,-0.1578
Westminster,12,1,Regent's Park,E05000643,51.537,-0.1511
Westminster,13,1,Regent's Park,E05000643,51.5245,-0.1456
Westminster,14,1,Regent's Park,E05000643,51.5235,-0.1514
Westminster,15,1,Regent's Park,E05000643,51.5216,-0.156
Westminster,1,1,Queen's Park,E05000642,51.5324,-0.2015
Westminster,2,1,Queen's Park,E05000642,51.525,-0.2025
Westminster,3,1,Queen's Park,E05000642,51.5257,-0.2057
Westminster,4,1,Queen's Park,E05000642,51.5262,-0.214
Westminster,5,1,Queen's Park,E05000642,51.5274,-0.2144
Westminster,6,1,Queen's Park,E05000642,51.5309,-0.2136
Westminster,7,1,Queen's Park,E05000642,51.5324,-0.2015
Westminster,1,1,Marylebone High Street,E05000641,51.5245,-0.1456
Westminster,2,1,Marylebone High Street,E05000641,51.5234,-0.1419
Westminster,3,1,Marylebone High Street,E05000641,51.5203,-0.1376
Westminster,4,1,Marylebone High Street,E05000641,51.5189,-0.1456
Westminster,5,1,Marylebone High Street,E05000641,51.5154,-0.1437
Westminster,6,1,Marylebone High Street,E05000641,51.5141,-0.1453
Westminster,7,1,Marylebone High Street,E05000641,51.5132,-0.1544
Westminster,8,1,Marylebone High Street,E05000641,51.52,-0.1575
Westminster,9,1,Marylebone High Street,E05000641,51.5216,-0.156
Westminster,10,1,Marylebone High Street,E05000641,51.5235,-0.1514
Westminster,11,1,Marylebone High Street,E05000641,51.5245,-0.1456
Westminster,1,1,Maida Vale,E05000640,51.5279,-0.1799
Westminster,2,1,Maida Vale,E05000640,51.5244,-0.1887
Westminster,3,1,Maida Vale,E05000640,51.525,-0.1898
Westminster,4,1,Maida Vale,E05000640,51.5271,-0.195
Westminster,5,1,Maida Vale,E05000640,51.5316,-0.1913
Westminster,6,1,Maida Vale,E05000640,51.5358,-0.1899
Westminster,7,1,Maida Vale,E05000640,51.534,-0.1872
Westminster,8,1,Maida Vale,E05000640,51.5279,-0.1799
Westminster,1,1,Little Venice,E05000639,51.5279,-0.1799
Westminster,2,1,Little Venice,E05000639,51.5241,-0.1752
Westminster,3,1,Little Venice,E05000639,51.5194,-0.1686
Westminster,4,1,Little Venice,E05000639,51.5196,-0.1784
Westminster,5,1,Little Venice,E05000639,51.522,-0.1862
Westminster,6,1,Little Venice,E05000639,51.5244,-0.1887
Westminster,7,1,Little Venice,E05000639,51.5279,-0.1799
Westminster,1,1,Lancaster Gate,E05000638,51.5171,-0.1805
Westminster,2,1,Lancaster Gate,E05000638,51.5157,-0.1804
Westminster,3,1,Lancaster Gate,E05000638,51.5111,-0.1745
Westminster,4,1,Lancaster Gate,E05000638,51.5097,-0.1863
Westminster,5,1,Lancaster Gate,E05000638,51.5094,-0.1905
Westminster,6,1,Lancaster Gate,E05000638,51.5122,-0.1928
Westminster,7,1,Lancaster Gate,E05000638,51.5125,-0.1897
Westminster,8,1,Lancaster Gate,E05000638,51.5149,-0.1904
Westminster,9,1,Lancaster Gate,E05000638,51.5171,-0.1805
Westminster,1,1,Knightsbridge and Belgravia,E05000637,51.5014,-0.1501
Westminster,2,1,Knightsbridge and Belgravia,E05000637,51.4967,-0.1447
Westminster,3,1,Knightsbridge and Belgravia,E05000637,51.4928,-0.1487
Westminster,4,1,Knightsbridge and Belgravia,E05000637,51.4905,-0.1541
Westminster,5,1,Knightsbridge and Belgravia,E05000637,51.4927,-0.1544
Westminster,6,1,Knightsbridge and Belgravia,E05000637,51.497,-0.1544
Westminster,7,1,Knightsbridge and Belgravia,E05000637,51.5017,-0.1569
Westminster,8,1,Knightsbridge and Belgravia,E05000637,51.4982,-0.1639
Westminster,9,1,Knightsbridge and Belgravia,E05000637,51.4985,-0.1668
Westminster,10,1,Knightsbridge and Belgravia,E05000637,51.4973,-0.178
Westminster,11,1,Knightsbridge and Belgravia,E05000637,51.501,-0.1787
Westminster,12,1,Knightsbridge and Belgravia,E05000637,51.5013,-0.1827
Westminster,13,1,Knightsbridge and Belgravia,E05000637,51.5097,-0.1863
Westminster,14,1,Knightsbridge and Belgravia,E05000637,51.5111,-0.1745
Westminster,15,1,Knightsbridge and Belgravia,E05000637,51.5127,-0.1586
Westminster,16,1,Knightsbridge and Belgravia,E05000637,51.5129,-0.1568
Westminster,17,1,Knightsbridge and Belgravia,E05000637,51.5096,-0.1549
Westminster,18,1,Knightsbridge and Belgravia,E05000637,51.5053,-0.1497
Westminster,19,1,Knightsbridge and Belgravia,E05000637,51.5014,-0.1501
Westminster,1,1,Hyde Park,E05000636,51.5127,-0.1586
Westminster,2,1,Hyde Park,E05000636,51.5111,-0.1745
Westminster,3,1,Hyde Park,E05000636,51.5157,-0.1804
Westminster,4,1,Hyde Park,E05000636,51.5171,-0.1805
Westminster,5,1,Hyde Park,E05000636,51.519,-0.1833
Westminster,6,1,Hyde Park,E05000636,51.5196,-0.1784
Westminster,7,1,Hyde Park,E05000636,51.5194,-0.1686
Westminster,8,1,Hyde Park,E05000636,51.5127,-0.1586
Westminster,1,1,Harrow Road,E05000635,51.5324,-0.2015
Westminster,2,1,Harrow Road,E05000635,51.5324,-0.2014
Westminster,3,1,Harrow Road,E05000635,51.5296,-0.1964
Westminster,4,1,Harrow Road,E05000635,51.5271,-0.195
Westminster,5,1,Harrow Road,E05000635,51.525,-0.1898
Westminster,6,1,Harrow Road,E05000635,51.5226,-0.1937
Westminster,7,1,Harrow Road,E05000635,51.5234,-0.199
Westminster,8,1,Harrow Road,E05000635,51.5222,-0.2
Westminster,9,1,Harrow Road,E05000635,51.5257,-0.2057
Westminster,10,1,Harrow Road,E05000635,51.525,-0.2025
Westminster,11,1,Harrow Road,E05000635,51.5324,-0.2015
Westminster,1,1,Church Street,E05000634,51.5241,-0.1752
Westminster,2,1,Church Street,E05000634,51.5264,-0.1676
Westminster,3,1,Church Street,E05000634,51.5278,-0.1657
Westminster,4,1,Church Street,E05000634,51.5247,-0.1624
Westminster,5,1,Church Street,E05000634,51.5235,-0.1658
Westminster,6,1,Church Street,E05000634,51.5204,-0.1627
Westminster,7,1,Church Street,E05000634,51.5194,-0.1686
Westminster,8,1,Church Street,E05000634,51.5241,-0.1752
Westminster,1,1,Churchill,E05000633,51.484,-0.1482
Westminster,2,1,Churchill,E05000633,51.4857,-0.1488
Westminster,3,1,Churchill,E05000633,51.4891,-0.1543
Westminster,4,1,Churchill,E05000633,51.4905,-0.1541
Westminster,5,1,Churchill,E05000633,51.4928,-0.1487
