"Borough","Population"
Barking and Dagenham,"218,869"
Barnet,"389,344"
Bexley,"246,472"
Brent,"339,816"
Bromley,"329,991"
Camden,"210,136"
City of London,"8,583"
Croydon,"390,719"
Ealing,"367,115"
Enfield,"329,984"
Greenwich,"289,068"
Hackney,"259,146"
Hammersmith and Fulham,"183,157"
Haringey,"264,238"
Harrow,"261,203"
Havering,"262,052"
Hillingdon,"305,909"
Hounslow,"288,181"
Islington,"216,589"
Kensington and Chelsea,"143,375"
Kingston upon Thames,"168,063"
Lambeth,"317,654"
Lewisham,"300,553"
Merton,"215,187"
Newham,"351,036"
Redbridge,"310,260"
Richmond upon Thames,"195,278"
Southwark,"307,637"
Sutton,"209,639"
Tower Hamlets,"310,306"
Waltham Forest,"278,425"
Wandsworth,"327,506"
Westminster,"204,236"
